,nt_ref,ot_ref,ot_text
184,"Ro 10:20,21","Isa 65:1,2","I am sought of them that asked not for me; I am found of them that sought me not: I said, Behold me, behold me, unto a nation that was not called by my name."
185,Ro 11:3,"1Ki 19:10,14","And he said, I have been very jealous for the LORD God of hosts: for the children of Israel have forsaken thy covenant, thrown down thine altars, and slain thy prophets with the sword; and I, even I only, am left; and they seek my life, to take it away."
186,Ro 11:4,1Ki 19:18,"Yet I have left me seven thousand in Israel, all the knees which have not bowed unto Baal, and every mouth which hath not kissed him."
187,Ro 11:8,Isa 29:10,"For the LORD hath poured out upon you the spirit of deep sleep, and hath closed your eyes: the prophets and your rulers, the seers hath he covered."
188,"Ro 11:9,10","Ps 69:22,23","Let their table become a snare before them: and that which should have been for their welfare, let it become a trap."
189,"Ro 11:26,27","Isa 59:20,21","And the Redeemer shall come to Zion, and unto them that turn from transgression in Jacob, saith the LORD."
190,Ro 11:34,Isa 40:13,"Who hath directed the Spirit of the LORD, or being his counsellor hath taught him?"
191,Ro 12:16,Pr 3:7,"Be not wise in thine own eyes: fear the LORD, and depart from evil."
192,Ro 12:19,De 32:35,"To me belongeth vengeance and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste."
193,Ro 12:20,"Pr 25:21,22","If thine enemy be hungry, give him bread to eat; and if he be thirsty, give him water to drink:"
194,Ro 13:9,"Ex 20:13,17",Thou shalt not kill.
195,Ro 13:9,De 5:16-21,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
196,Ro 13:9,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
197,Ro 14:11,Isa 45:23,"I have sworn by myself, the word is gone out of my mouth in righteousness, and shall not return, That unto me every knee shall bow, every tongue shall swear."
198,Ro 15:3,Ps 69:9,For the zeal of thine house hath eaten me up; and the reproaches of them that reproached thee are fallen upon me.
199,Ro 15:9,Ps 18:49,"Therefore will I give thanks unto thee, O LORD, among the heathen, and sing praises unto thy name."
200,Ro 15:10,De 32:43,"Rejoice, O ye nations, with his people: for he will avenge the blood of his servants, and will render vengeance to his adversaries, and will be merciful unto his land, and to his people."
201,Ro 15:11,Ps 117:1,"O praise the LORD, all ye nations: praise him, all ye people."
202,Ro 15:12,"Isa 11:1,10","And there shall come forth a rod out of the stem of Jesse, and a Branch shall grow out of his roots:"
