,ot_ref,nt_ref,nt_text
216,Ps 110:1,1Co 15:25,"For he must reign, till he hath put all enemies under his feet."
256,Ps 110:1,Heb 1:13,"But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?"
268,Ps 110:4,Heb 5:6,"As he saith also in another place, Thou art a priest for ever after the order of Melchisedec."
270,Ps 110:4,"Heb 7:17,21","For he testifieth, Thou art a priest for ever after the order of Melchisedec."
230,Ps 112:9,2Co 9:9,"(As it is written, He hath dispersed abroad; he hath given to the poor: his righteousness remaineth for ever."
222,Ps 116:10,2Co 4:13,"We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;"
145,Ps 116:11,Ro 3:4,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged."
201,Ps 117:1,Ro 15:11,"And again, Praise the Lord, all ye Gentiles; and laud him, all ye people."
286,Ps 118:6,Heb 13:6,"So that we may boldly say, The Lord is my helper, and I will not fear what man shall do unto me."
37,"Ps 118:22,23",Mt 21:42,"Jesus saith unto them, Did ye never read in the scriptures, The stone which the builders rejected, the same is become the head of the corner: this is the Lord's doing, and it is marvellous in our eyes?"
63,"Ps 118:22,23","Mr 12:10,11",And have ye not read this scripture; The stone which the builders rejected is become the head of the corner:
91,"Ps 118:22,23",Lu 20:17,"And he beheld them, and said, What is this then that is written, The stone which the builders rejected, the same is become the head of the corner?"
121,"Ps 118:22,23",Ac 4:11,"This is the stone which was set at nought of you builders, which is become the head of the corner."
294,"Ps 118:22,23",1Pe 2:7,"Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,"
33,Ps 118:26,Mt 21:9,"And the multitudes that went before, and that followed, cried, saying, Hosanna to the son of David: Blessed is he that cometh in the name of the Lord; Hosanna in the highest."
60,Ps 118:26,Mr 11:9,"And they that went before, and they that followed, cried, saying, Hosanna; Blessed is he that cometh in the name of the Lord:"
150,Ps 140:3,Ro 3:13,Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:
191,Pr 3:7,Ro 12:16,"Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits."
